,lon,lat,name,number,location
4775,116.640255,39.887029,通州 - 巴克寓所,19,通州
4776,116.690241,39.895372,通州 - 白领居易,3,通州
4777,116.625483,39.910019,通州 - 竹木厂小区,5,通州
4778,116.545569,39.759808,通州 - 米拉village,2,通州
4779,116.544926,39.759016,通州 - 米拉小镇,5,通州
4780,116.660033,39.866257,通州 - 绣江南,4,通州
4781,116.656873,39.917481,通州 - 绿地中央广场公寓,3,通州
4782,116.659337,39.904946,通州 - 红旗家属院,7,通州
4783,116.648528,39.883138,通州 - 翠屏南里,4,通州
4784,116.653366,39.945197,通州 - 翠福园,7,通州
4785,116.684919,39.928194,通州 - 耿庄小区,2,通州
4786,116.674182,39.895,通州 - 艺苑东里,1,通州
4787,116.668838,39.895105,通州 - 艺苑西里,7,通州
4788,116.670406,39.874394,通州 - 花涧溪,24,通州
4789,116.645052,39.891529,通州 - 苏荷时代,14,通州
4790,116.54743,39.761762,通州 - 莲水怡园,13,通州
4791,116.66763,39.891557,通州 - 葛布店东里,1,通州
4792,116.659094,39.893422,通州 - 葛布店北里,2,通州
4793,116.647359,39.89141,通州 - 葵花社,13,通州
4794,116.651357,39.886876,通州 - 蓝调沙龙,37,通州
4795,116.537493,39.743291,通州 - 融科香雪兰溪,3,通州
4796,116.678357,39.903403,通州 - 西上园小区,5,通州
4797,116.674795,39.891775,通州 - 紫光花园,3,通州
4798,116.634823,39.92820800000001,通州 - 西富河园,5,通州
4799,116.665747,39.899312,通州 - 西营前街,2,通州
4800,116.645325,39.892548,通州 - 西西庄园,7,通州
4801,116.651845,39.917447,通州 - 财富东方,5,通州
4802,116.650023,39.894151,通州 - 达富苑,7,通州
4803,116.684621,39.912553,通州 - 运河园,1,通州
4804,116.694292,39.895861,通州 - 运河居,2,通州
4805,116.690112,39.900965,通州 - 运河明珠家园,12,通州
4806,116.634873,39.907496,通州 - 通典铭居,5,通州
4807,116.640473,39.871819,通州 - 通大家园,12,通州
4808,116.634374,39.899402,通州 - 通州杨庄小区,9,通州
4809,116.647474,39.888364,通州 - 西总屯,2,通州
4810,116.629354,39.890034,通州 - 通广嘉园,3,通州
4811,116.639727,39.909193,通州 - 通惠苑,3,通州
4812,116.642711,39.877859,通州 - 通景园,17,通州
